Date,Output
9/1/2023,98.05
8/31/2023,97.95
8/30/2023,96.95
8/29/2023,96.95
8/25/2023,96.10
8/24/2023,95.85
8/23/2023,94.40
8/22/2023,94.10
8/21/2023,94.10
8/18/2023,94.10
8/17/2023,95.15
8/16/2023,95.65
8/15/2023,96.95
8/14/2023,98.35
8/11/2023,96.70
8/10/2023,95.90
8/9/2023,95.90
8/8/2023,96.05
8/7/2023,95.05
8/4/2023,95.60
8/3/2023,95.60
8/2/2023,97.25
8/1/2023,95.75
7/31/2023,94.90
7/28/2023,94.90
7/27/2023,98.00
7/26/2023,97.20
7/25/2023,95.40
7/24/2023,94.65
7/21/2023,94.35
7/20/2023,93.80
7/19/2023,92.45
7/18/2023,92.40
7/17/2023,91.50
7/14/2023,91.90
7/13/2023,91.90
7/12/2023,92.10
7/11/2023,89.55
7/10/2023,91.35
7/7/2023,90.85
7/6/2023,91.75
7/5/2023,92.95
7/4/2023,92.95
7/3/2023,91.95
6/30/2023,90.25
6/29/2023,88.90
6/28/2023,88.70
6/27/2023,89.30
6/26/2023,90.10
6/23/2023,91.70
6/22/2023,92.00
6/21/2023,92.15
6/20/2023,91.65
6/19/2023,91.65
6/1/2023,93.75
5/31/2023,94.15
5/30/2023,93.75
5/26/2023,90.65
5/25/2023,91.95
5/24/2023,94.45
5/23/2023,95.40
5/22/2023,96.95
5/19/2023,97.50
5/18/2023,97.85
5/17/2023,95.05
5/16/2023,94.15
5/15/2023,92.45
5/12/2023,91.85
5/11/2023,93.20
5/10/2023,93.45
5/9/2023,95.70
5/5/2023,94.20
5/4/2023,91.20
5/3/2023,92.95
5/2/2023,94.15
4/28/2023,93.15
4/27/2023,91.45
4/26/2023,91.70
4/25/2023,93.75
4/24/2023,93.30
4/21/2023,93.30
4/20/2023,96.90
4/19/2023,98.15
4/18/2023,96.65
4/17/2023,96.40
4/14/2023,96.85
4/13/2023,96.10
4/12/2023,96.40
4/11/2023,96.15
4/6/2023,94.85
4/5/2023,94.85
4/4/2023,96.25
4/3/2023,96.75
3/31/2023,97.55
3/30/2023,96.70
3/29/2023,96.50
3/28/2023,93.85
3/27/2023,91.05
3/24/2023,92.05
3/23/2023,92.80
3/22/2023,92.30
3/21/2023,91.80
3/20/2023,92.30
3/17/2023,93.55
3/16/2023,93.55
3/15/2023,95.80
3/14/2023,95.55
3/13/2023,92.55
3/10/2023,96.55
3/9/2023,96.95
3/8/2023,97.20
3/7/2023,99.40
3/6/2023,98.90
3/3/2023,98.40
3/2/2023,100.10
3/1/2023,98.60
2/28/2023,99.35
2/27/2023,99.35
2/24/2023,97.35
2/23/2023,97.10
2/22/2023,96.85
2/21/2023,96.85
2/20/2023,96.85
2/17/2023,97.35
2/16/2023,98.25
2/15/2023,100.85
2/14/2023,100.85
2/13/2023,100.55
2/10/2023,100.85
2/9/2023,100.75
2/8/2023,100.95
2/7/2023,98.80
2/6/2023,100.70
2/3/2023,101.70
2/2/2023,100.95
2/1/2023,101.35
1/31/2023,100.40
1/30/2023,102.00
1/27/2023,102.40
1/26/2023,101.65
1/25/2023,101.15
1/24/2023,102.45
1/23/2023,101.80
1/20/2023,99.10
1/19/2023,100.60
1/18/2023,98.60
1/17/2023,98.10
1/16/2023,98.10
1/13/2023,97.85
1/12/2023,100.10
1/11/2023,100.80
1/10/2023,102.10
1/9/2023,101.90
1/6/2023,99.50
1/5/2023,97.60
1/4/2023,99.80
1/3/2023,100.00
12/30/2022,99.25
12/29/2022,99.80
12/28/2022,101.00
12/23/2022,101.55
12/22/2022,105.55
12/21/2022,105.05
12/20/2022,101.45
12/19/2022,99.50
12/16/2022,98.50
12/15/2022,99.20
12/14/2022,99.45
12/13/2022,97.25
12/12/2022,98.80
12/9/2022,98.90
12/8/2022,99.95
12/7/2022,102.75
12/6/2022,102.10
12/5/2022,101.35
12/2/2022,103.10
12/1/2022,102.90
11/30/2022,99.10
11/29/2022,97.50
11/28/2022,98.70
11/25/2022,101.35
11/24/2022,101.35
11/23/2022,100.95
11/22/2022,98.45
11/21/2022,102.45
11/18/2022,104.05
11/17/2022,105.40
11/16/2022,105.75
11/15/2022,102.55
11/14/2022,105.30
11/11/2022,103.55
11/10/2022,103.55
11/9/2022,104.50
11/8/2022,104.50
11/7/2022,104.10
11/4/2022,100.10
11/3/2022,96.20
11/2/2022,92.20
11/1/2022,89.20
10/31/2022,89.50
10/28/2022,92.50
10/27/2022,95.25
10/26/2022,95.95
10/25/2022,93.75
10/24/2022,96.75
10/20/2022,95.80
10/19/2022,99.80
10/18/2022,100.95
10/17/2022,100.95
10/13/2022,102.65
10/12/2022,106.65
10/11/2022,106.15
10/10/2022,102.55
10/7/2022,101.30
10/6/2022,101.70
10/5/2022,106.70
10/3/2022,104.00
10/3/2022,104.00
10/3/2022,104.00
10/3/2022,104.00
9/30/2022,103.80
9/29/2022,107.10
9/28/2022,106.70
9/27/2022,106.95
9/26/2022,110.85
9/23/2022,114.85
9/22/2022,115.35
9/21/2022,111.95
9/20/2022,114.60
9/16/2022,121.75
9/15/2022,121.25
9/14/2022,120.85
9/13/2022,124.25
9/12/2022,123.40
9/9/2022,122.40
9/8/2022,120.15
9/7/2022,122.05
9/6/2022,121.60
9/5/2022,121.60
9/2/2022,126.60
9/1/2022,131.60
8/31/2022,130.60
8/30/2022,135.25
8/26/2022,132.25
8/25/2022,132.25
8/24/2022,130.50
8/23/2022,132.50
8/22/2022,134.25
8/19/2022,131.00
8/18/2022,131.65
8/17/2022,134.90
8/16/2022,131.75
8/15/2022,126.75
8/12/2022,122.75
8/11/2022,119.20
8/10/2022,117.20
8/9/2022,113.90
8/8/2022,114.40
8/5/2022,113.10
8/4/2022,112.85
8/3/2022,113.25
8/2/2022,112.30
8/1/2022,114.60
7/29/2022,131.40
7/28/2022,130.40
7/27/2022,129.90
7/26/2022,127.20
7/25/2022,127.20
7/22/2022,128.30
7/21/2022,129.80
7/20/2022,129.30
7/19/2022,130.00
7/18/2022,126.75
7/15/2022,121.75
7/14/2022,126.55
7/13/2022,129.75
7/12/2022,134.55
7/11/2022,135.95
7/8/2022,132.20
7/7/2022,129.00
7/6/2022,134.00
7/5/2022,138.40
7/4/2022,138.60
7/1/2022,140.60
6/30/2022,139.30
6/29/2022,135.50
6/28/2022,136.00
6/27/2022,140.20
6/24/2022,144.30
6/23/2022,150.50
6/22/2022,156.50
6/21/2022,161.30
6/20/2022,161.30
6/17/2022,161.30
6/16/2022,161.05
6/15/2022,161.30
6/14/2022,163.55
6/13/2022,163.05
6/10/2022,164.55
6/9/2022,159.10
6/8/2022,155.35
6/7/2022,156.10
6/6/2022,156.20
6/1/2022,156.95
5/31/2022,157.45
5/30/2022,157.45
5/27/2022,158.70
5/26/2022,163.20
5/25/2022,159.70
5/24/2022,161.00
5/23/2022,160.60
5/20/2022,166.20
5/19/2022,163.00
5/18/2022,167.00
5/17/2022,169.45
5/16/2022,163.95
5/13/2022,164.20
5/12/2022,162.20
5/11/2022,161.70
5/10/2022,161.70
5/9/2022,162.45
5/6/2022,167.45
5/5/2022,173.45
5/4/2022,168.70
5/3/2022,169.30
4/29/2022,166.05
4/28/2022,159.05
4/27/2022,154.25
4/26/2022,154.00
4/25/2022,154.50
4/22/2022,156.50
4/21/2022,157.20
4/20/2022,156.70
4/19/2022,161.70
4/14/2022,159.90
4/13/2022,155.90
4/12/2022,151.90
4/11/2022,149.40
4/8/2022,150.05
4/7/2022,152.30
4/6/2022,153.95
4/5/2022,154.30
4/4/2022,151.05
4/1/2022,152.30
3/31/2022,156.55
3/30/2022,153.55
3/29/2022,155.75
3/28/2022,152.75
3/25/2022,147.75
3/24/2022,146.75
3/23/2022,146.75
3/22/2022,146.75
3/21/2022,143.50
3/18/2022,138.50
3/17/2022,136.45
3/16/2022,135.25
3/15/2022,135.45
3/14/2022,137.60
3/11/2022,133.45
3/10/2022,134.05
3/9/2022,134.55
3/8/2022,133.60
3/7/2022,133.15
3/4/2022,135.55
3/3/2022,134.45
3/2/2022,138.70
3/1/2022,135.05
2/28/2022,134.65
2/25/2022,135.20
2/24/2022,137.40
2/23/2022,136.50
2/22/2022,137.20
2/21/2022,137.20
2/18/2022,135.70
2/17/2022,135.70
2/16/2022,136.95
2/15/2022,136.95
2/14/2022,139.20
2/11/2022,139.70
2/10/2022,140.40
